"Date","AQS_PARAMETER_DESC","Site.Name","DAILY_AQI_VALUE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2018-12-19,"PM2.5","Linville Falls",20,"Avery",35.972347,-81.933072
2018-12-22,"PM2.5","Linville Falls",4,"Avery",35.972347,-81.933072
2018-12-25,"PM2.5","Linville Falls",12,"Avery",35.972347,-81.933072
2018-01-02,"PM2.5","Board Of Ed. Bldg.",26,"Buncombe",35.6062000008935,-82.5844
2018-01-08,"PM2.5","Board Of Ed. Bldg.",40,"Buncombe",35.6062000008935,-82.5844
2018-01-14,"PM2.5","Board Of Ed. Bldg.",18,"Buncombe",35.6062000008935,-82.5844
2018-01-20,"PM2.5","Board Of Ed. Bldg.",23,"Buncombe",35.6062000008935,-82.5844
2018-01-26,"PM2.5","Board Of Ed. Bldg.",37,"Buncombe",35.6062000008935,-82.5844
2018-02-01,"PM2.5","Board Of Ed. Bldg.",44,"Buncombe",35.6062000008935,-82.5844
2018-02-07,"PM2.5","Board Of Ed. Bldg.",15,"Buncombe",35.6062000008935,-82.5844
2018-02-13,"PM2.5","Board Of Ed. Bldg.",18,"Buncombe",35.6062000008935,-82.5844
2018-02-19,"PM2.5","Board Of Ed. Bldg.",14,"Buncombe",35.6062000008935,-82.5844
2018-02-25,"PM2.5","Board Of Ed. Bldg.",22,"Buncombe",35.6062000008935,-82.5844
2018-03-03,"PM2.5","Board Of Ed. Bldg.",9,"Buncombe",35.6062000008935,-82.5844
2018-03-09,"PM2.5","Board Of Ed. Bldg.",28,"Buncombe",35.6062000008935,-82.5844
2018-03-15,"PM2.5","Board Of Ed. Bldg.",31,"Buncombe",35.6062000008935,-82.5844
2018-03-21,"PM2.5","Board Of Ed. Bldg.",9,"Buncombe",35.6062000008935,-82.5844
2018-03-27,"PM2.5","Board Of Ed. Bldg.",21,"Buncombe",35.6062000008935,-82.5844
2018-04-02,"PM2.5","Board Of Ed. Bldg.",40,"Buncombe",35.6062000008935,-82.5844
2018-04-08,"PM2.5","Board Of Ed. Bldg.",16,"Buncombe",35.6062000008935,-82.5844
2018-04-14,"PM2.5","Board Of Ed. Bldg.",40,"Buncombe",35.6062000008935,-82.5844
2018-04-20,"PM2.5","Board Of Ed. Bldg.",17,"Buncombe",35.6062000008935,-82.5844
2018-04-26,"PM2.5","Board Of Ed. Bldg.",13,"Buncombe",35.6062000008935,-82.5844
2018-05-02,"PM2.5","Board Of Ed. Bldg.",48,"Buncombe",35.6062000008935,-82.5844
2018-05-08,"PM2.5","Board Of Ed. Bldg.",28,"Buncombe",35.6062000008935,-82.5844
2018-05-14,"PM2.5","Board Of Ed. Bldg.",54,"Buncombe",35.6062000008935,-82.5844
2018-05-20,"PM2.5","Board Of Ed. Bldg.",39,"Buncombe",35.6062000008935,-82.5844
2018-05-26,"PM2.5","Board Of Ed. Bldg.",16,"Buncombe",35.6062000008935,-82.5844
2018-06-01,"PM2.5","Board Of Ed. Bldg.",15,"Buncombe",35.6062000008935,-82.5844
2018-06-07,"PM2.5","Board Of Ed. Bldg.",46,"Buncombe",35.6062000008935,-82.5844
2018-06-13,"PM2.5","Board Of Ed. Bldg.",25,"Buncombe",35.6062000008935,-82.5844
2018-06-19,"PM2.5","Board Of Ed. Bldg.",45,"Buncombe",35.6062000008935,-82.5844
2018-06-25,"PM2.5","Board Of Ed. Bldg.",21,"Buncombe",35.6062000008935,-82.5844
2018-07-01,"PM2.5","Board Of Ed. Bldg.",29,"Buncombe",35.6062000008935,-82.5844
2018-07-07,"PM2.5","Board Of Ed. Bldg.",24,"Buncombe",35.6062000008935,-82.5844
2018-07-13,"PM2.5","Board Of Ed. Bldg.",44,"Buncombe",35.6062000008935,-82.5844
2018-07-19,"PM2.5","Board Of Ed. Bldg.",43,"Buncombe",35.6062000008935,-82.5844
2018-07-25,"PM2.5","Board Of Ed. Bldg.",24,"Buncombe",35.6062000008935,-82.5844
2018-07-31,"PM2.5","Board Of Ed. Bldg.",30,"Buncombe",35.6062000008935,-82.5844
2018-08-06,"PM2.5","Board Of Ed. Bldg.",29,"Buncombe",35.6062000008935,-82.5844
2018-08-12,"PM2.5","Board Of Ed. Bldg.",38,"Buncombe",35.6062000008935,-82.5844
2018-08-18,"PM2.5","Board Of Ed. Bldg.",23,"Buncombe",35.6062000008935,-82.5844
2018-08-24,"PM2.5","Board Of Ed. Bldg.",30,"Buncombe",35.6062000008935,-82.5844
2018-08-30,"PM2.5","Board Of Ed. Bldg.",31,"Buncombe",35.6062000008935,-82.5844
2018-09-05,"PM2.5","Board Of Ed. Bldg.",32,"Buncombe",35.6062000008935,-82.5844
2018-09-11,"PM2.5","Board Of Ed. Bldg.",21,"Buncombe",35.6062000008935,-82.5844
2018-09-17,"PM2.5","Board Of Ed. Bldg.",5,"Buncombe",35.6062000008935,-82.5844
2018-09-23,"PM2.5","Board Of Ed. Bldg.",46,"Buncombe",35.6062000008935,-82.5844
2018-09-29,"PM2.5","Board Of Ed. Bldg.",16,"Buncombe",35.6062000008935,-82.5844
2018-10-05,"PM2.5","Board Of Ed. Bldg.",30,"Buncombe",35.6062000008935,-82.5844
