"Date","AQS_PARAMETER_DESC","Site.Name","DAILY_AQI_VALUE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2019-01-03,"PM2.5","Linville Falls",7,"Avery",35.972347,-81.933072
2019-01-06,"PM2.5","Linville Falls",4,"Avery",35.972347,-81.933072
2019-01-09,"PM2.5","Linville Falls",5,"Avery",35.972347,-81.933072
2019-01-12,"PM2.5","Linville Falls",26,"Avery",35.972347,-81.933072
2019-01-15,"PM2.5","Linville Falls",11,"Avery",35.972347,-81.933072
2019-01-18,"PM2.5","Linville Falls",5,"Avery",35.972347,-81.933072
2019-01-21,"PM2.5","Linville Falls",6,"Avery",35.972347,-81.933072
2019-01-24,"PM2.5","Linville Falls",6,"Avery",35.972347,-81.933072
2019-01-27,"PM2.5","Linville Falls",15,"Avery",35.972347,-81.933072
2019-01-30,"PM2.5","Linville Falls",7,"Avery",35.972347,-81.933072
2019-02-02,"PM2.5","Linville Falls",14,"Avery",35.972347,-81.933072
2019-02-05,"PM2.5","Linville Falls",20,"Avery",35.972347,-81.933072
2019-02-08,"PM2.5","Linville Falls",8,"Avery",35.972347,-81.933072
2019-02-11,"PM2.5","Linville Falls",10,"Avery",35.972347,-81.933072
2019-02-14,"PM2.5","Linville Falls",8,"Avery",35.972347,-81.933072
2019-02-17,"PM2.5","Linville Falls",10,"Avery",35.972347,-81.933072
2019-02-20,"PM2.5","Linville Falls",3,"Avery",35.972347,-81.933072
2019-02-23,"PM2.5","Linville Falls",1,"Avery",35.972347,-81.933072
2019-02-26,"PM2.5","Linville Falls",11,"Avery",35.972347,-81.933072
2019-01-03,"PM2.5","Board Of Ed. Bldg.",11,"Buncombe",35.6062000008935,-82.5844
2019-01-09,"PM2.5","Board Of Ed. Bldg.",6,"Buncombe",35.6062000008935,-82.5844
2019-01-15,"PM2.5","Board Of Ed. Bldg.",15,"Buncombe",35.6062000008935,-82.5844
2019-01-21,"PM2.5","Board Of Ed. Bldg.",18,"Buncombe",35.6062000008935,-82.5844
2019-01-27,"PM2.5","Board Of Ed. Bldg.",58,"Buncombe",35.6062000008935,-82.5844
2019-02-02,"PM2.5","Board Of Ed. Bldg.",44,"Buncombe",35.6062000008935,-82.5844
2019-02-08,"PM2.5","Board Of Ed. Bldg.",13,"Buncombe",35.6062000008935,-82.5844
2019-02-14,"PM2.5","Board Of Ed. Bldg.",24,"Buncombe",35.6062000008935,-82.5844
2019-02-20,"PM2.5","Board Of Ed. Bldg.",9,"Buncombe",35.6062000008935,-82.5844
2019-02-26,"PM2.5","Board Of Ed. Bldg.",36,"Buncombe",35.6062000008935,-82.5844
2019-03-04,"PM2.5","Board Of Ed. Bldg.",21,"Buncombe",35.6062000008935,-82.5844
2019-03-10,"PM2.5","Board Of Ed. Bldg.",18,"Buncombe",35.6062000008935,-82.5844
2019-03-16,"PM2.5","Board Of Ed. Bldg.",13,"Buncombe",35.6062000008935,-82.5844
2019-03-22,"PM2.5","Board Of Ed. Bldg.",16,"Buncombe",35.6062000008935,-82.5844
2019-03-28,"PM2.5","Board Of Ed. Bldg.",30,"Buncombe",35.6062000008935,-82.5844
2019-04-09,"PM2.5","Board Of Ed. Bldg.",13,"Buncombe",35.6062000008935,-82.5844
